soundcloud_name,song_name,genre,song_listens,timestamp,ig_handle,media_uploads,followers,following,engagement_rate,avg_likes,avg_comments
BADGIRL$,Stella,ultimate,91400.0,2020-08-13 14:55:37.439000+00:00,badgirls_tv,n/a,n/a,n/a,n/a,n/a,n/a
BANNERS,Someone to You,indie,3090000.0,2020-08-11 20:17:40.082000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
BARNEY ARTIST,DARK N COLD,rap,1555,2020-08-12 19:41:41.369000+00:00,barneyartist,57,"21,222",448,4.91%,985.50,55.85
BASTILLE,WHAT YOU GONNA DO??? (feat. Graham Coxon),indie,1188,2020-08-11 01:27:34.778000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
BC CAMPLIGHT,Shortly After Takeoff,indie,49,2020-08-11 02:52:40.676000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
BENEE,Supalonely (feat. Gus Dapperton),indie,5370000.0,2020-08-11 02:57:22.612000+00:00,beneemusic,187,"507,715",506,12.25%,"61,638.10",537.85
BLACKSTARKIDS,SOUNDS LIKE FUN,indie,261,2020-08-11 01:29:35.521000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
BLOXX,Off My Mind,indie,532,2020-08-11 01:27:50.179000+00:00,bloxxuk,494,"12,139",280,3.88%,465.75,5.55
BLR,BLR - Odyssee pt. I & II,ultimate,33600.0,2020-08-13 16:46:28.580000+00:00,blrofficial,109,"7,228",113,2.89%,193.95,15.10
BOKITO,okok,indie,789,2020-08-11 01:33:32.468000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
BONES UK,Pretty Waste,ultimate,4688,2020-08-13 14:59:10.107000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
BORDRLINE,disassociate interlude (demo),ultimate,214,2020-08-14 03:20:51.483000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
BOUNCE MAYHEM [GBX Anthems],Hixxy & Sharkey - Toytown 2020 (Deekay Remake) #bouncemayhem #gbxanthems2020,ultimate,2126,2020-08-14 00:02:35.689000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
BPSOCA Entertainment,The Caribbean Crawl Mix - Antigua & Barbuda Edition,ultimate,989,2020-08-16 19:12:46.492000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
BRONSON,DAWN (Edit) [feat. Totally Enormous Extinct Dinosaurs],indie,5775,2020-08-11 00:27:43.524000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
BTS,10000 Hours (cover) by JK of BTS,ultimate,9720000.0,2020-08-13 23:48:39.202000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
BUNNI,Explore - Sundara Karma cover,indie,340,2020-08-11 17:55:40.148000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
BUSH (Official),The Kingdom,ultimate,1995,2020-08-13 03:23:23.956000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
BaBa Beach Club,Jazz Session Vol.08 (Bossa Nova edition),ultimate,1240,2020-08-14 03:13:30.828000+00:00,bababeachclub,"3,761","51,150","1,327",0.13%,64.00,3.65
Baba Ali,All These Wires,indie,14,2020-08-11 02:51:01.327000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Baby Jesus (DaBaby),PICK UP (feat. Quavo),rap,2770000.0,2020-08-12 20:38:40.303000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Baby Queen,Internet Religion,indie,2851,2020-08-11 01:26:58.696000+00:00,queenofthebabies,49,"4,367",495,8.88%,363.40,24.45
Babybird,You're Gorgeous,indie,231,2020-08-11 14:11:22.942000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
