soundcloud_name,song_name,genre,song_listens,timestamp,ig_handle,media_uploads,followers,following,engagement_rate,avg_likes,avg_comments,Engaged Fans
BUSH (Official),The Kingdom,ultimate,1995,2020-08-13 03:23:23.956000+00:00,bush,,,,,,,
BaBa Beach Club,Jazz Session Vol.08 (Bossa Nova edition),ultimate,1240,2020-08-14 03:13:30.828000+00:00,bababeachclub,"3,800","51,308","1,325",0.09%,46.65,0.6,46
Baba Ali,All These Wires,indie,14,2020-08-11 02:51:01.327000+00:00,realbabaali,,,,,,,
Baby Jesus (DaBaby),PICK UP (feat. Quavo),rap,2770000,2020-08-12 20:38:40.303000+00:00,dababy,,,,,,,
Baby Queen,Internet Religion,indie,2851,2020-08-11 01:26:58.696000+00:00,queenofthebabies,61,"4,642",507,9.57%,418.45,25.7,444
Babybird,You're Gorgeous,indie,231,2020-08-11 14:11:22.942000+00:00,,,,,,,,
BackRoad Gee,I Got Mine/My Famlee,rap,22100,2020-08-12 19:43:25.025000+00:00,backroadgee,,,,,,,
Balamii,"Hear, Sense & Feel: A Samba Special w/ Pedro & Basma - August 2020",ultimate,0,2020-08-14 03:07:12.494000+00:00,balamii,,,,,,,
Bearcubs,Même Langue (feat. MUNYA),indie,221,2020-08-11 00:45:37.810000+00:00,bearcubsmusic,61,"3,667",384,7.83%,273.05,13.90,287
Beastie Boys,Sabotage,indie,123000,2020-08-11 14:13:00.066000+00:00,beastieboysstory,,,,,,,
Bebe Rexha,Meant To Be (With Florida Georgia Line),indie,18900000,2020-08-11 00:55:42.195000+00:00,beberexha,"1,074","10,365,037","1,162",4.75%,"489,056.00","3,021.20",492339
Because Music,Metronomy - The Look,indie,0,2020-08-11 20:19:43.575000+00:00,metronomy,,,,,,,
Beck,Devils Haircut,indie,17500,2020-08-11 14:13:11.024000+00:00,beck,,,,,,,
Becky Hill Official,Heaven On My Mind (Topic Remix),ultimate,3261,2020-08-13 23:58:51.133000+00:00,beckyhill,"1,868","178,190","2,481",2.66%,"4,651.95",85.9,4740
Bella Boo,Stars (Kornél Kovács Remix),indie,319,2020-08-11 00:26:16.909000+00:00,kornelkovacs,,,,,,,
Bellah,Something U Like,ultimate,351,2020-08-13 00:58:06.072000+00:00,ibebellah,,,,,,,
Belle and Sebastian,The Boy With The Arab Strap,indie,0,2020-08-11 14:11:54.869000+00:00,bellesglasgow,,,,,,,
